iter	Passed	Remaining
1102	64368	52346
1103	64427	52289
1104	64482	52227
1105	64540	52169
1106	64598	52110
1107	64655	52050
1108	64719	51997
1109	64773	51935
1110	64833	51878
1111	64890	51818
1112	64953	51764
1113	65009	51704
1114	65087	51661
1115	65147	51604
1116	65204	51544
1117	65257	51482
1118	65316	51424
1119	65370	51362
1120	65427	51303
1121	65478	51238
1122	65538	51181
1123	65596	51123
1124	65661	51069
1125	65719	51011
1126	65778	50953
1127	65834	50893
1128	65884	50828
1129	65939	50767
1130	65994	50706
1131	66052	50648
1132	66107	50587
1133	66167	50529
1134	66218	50466
1135	66277	50408
1136	66330	50345
1137	66385	50285
1138	66441	50224
1139	66496	50163
1140	66560	50109
1141	66619	50052
1142	66674	49991
1143	66731	49932
1144	66784	49869
1145	66837	49807
1146	66890	49745
1147	66944	49683
1148	67004	49626
1149	67066	49570
1150	67124	49512
1151	67181	49452
1152	67236	49392
1153	67296	49335
1154	67352	49275
1155	67402	49211
1156	67464	49155
1157	67524	49098
1158	67575	49034
1159	67633	48976
1160	67689	48916
1161	67744	48855
1162	67801	48795
1163	67856	48735
1164	67912	48675
1165	67973	48619
1166	68035	48563
1167	68091	48503
1168	68151	48446
1169	68206	48385
1170	68274	48334
1171	68333	48276
1172	68392	48218
1173	68445	48156
1174	68507	48101
1175	68564	48041
1176	68620	47982
1177	68675	47921
1178	68728	47859
1179	68785	47799
1180	68847	47744
1181	68904	47685
1182	68964	47628
1183	69023	47570
1184	69082	47512
1185	69136	47451
1186	69193	47392
1187	69251	47333
1188	69306	47273
1189	69360	47211
1190	69423	47156
1191	69482	47099
1192	69540	47040
1193	69591	46977
1194	69647	46917
1195	69705	46859
1196	69760	46798
1197	69818	46739
1198	69874	46680
1199	69933	46622
1200	69991	46563
1201	70051	46507
1202	70107	46446
1203	70156	46382
1204	70214	46324
1205	70268	46262
1206	70325	46203
1207	70380	46143
1208	70440	46086
1209	70491	46023
1210	70551	45966
1211	70602	45902
1212	70656	45842
1213	70710	45781
1214	70763	45719
1215	70815	45657
1216	70874	45599
1217	70932	45540
1218	70989	45481
1219	71043	45421
1220	71097	45360
1221	71152	45299
1222	71211	45242
1223	71265	45181
1224	71322	45122
1225	71388	45069
1226	71442	45008
1227	71494	44946
1228	71550	44886
1229	71607	44827
1230	71663	44767
1231	71717	44707
1232	71777	44649
1233	71830	44588
1234	71897	44535
1235	71954	44476
1236	72014	44419
1237	72074	44362
1238	72125	44299
1239	72176	44237
1240	72231	44176
1241	72282	44114
1242	72342	44057
1243	72398	43997
1244	72454	43938
1245	72514	43880
1246	72571	43822
1247	72624	43760
1248	72682	43702
1249	72738	43643
1250	72794	43583
1251	72853	43525
1252	72913	43468
1253	72972	43411
1254	73031	43353
1255	73088	43294
1256	73144	43235
1257	73198	43174
1258	73249	43111
1259	73305	43052
1260	73370	42997
1261	73425	42938
1262	73485	42880
1263	73536	42818
1264	73592	42759
1265	73649	42700
1266	73705	42641
1267	73758	42580
1268	73819	42523
1269	73869	42460
1270	73931	42404
1271	73982	42341
1272	74032	42279
1273	74090	42220
1274	74149	42163
1275	74205	42104
1276	74269	42049
1277	74330	41992
1278	74386	41933
1279	74438	41871
1280	74501	41816
1281	74558	41757
1282	74620	41701
1283	74673	41640
1284	74734	41583
1285	74796	41527
1286	74852	41468
1287	74906	41407
1288	74959	41347
1289	75016	41287
1290	75070	41227
1291	75123	41166
1292	75178	41107
1293	75245	41053
1294	75301	40994
1295	75359	40935
1296	75416	40877
1297	75475	40819
1298	75535	40762
1299	75593	40703
1300	75648	40644
1301	75714	40590
1302	75773	40532
1303	75829	40473
1304	75882	40412
1305	75934	40350
1306	75986	40289
1307	76045	40231
1308	76101	40172
1309	76155	40112
1310	76213	40054
1311	76267	39993
1312	76330	39938
1313	76387	39879
1314	76441	39819
1315	76494	39758
1316	76551	39699
1317	76608	39640
1318	76671	39585
1319	76730	39527
1320	76787	39469
1321	76840	39408
1322	76893	39347
1323	76947	39287
1324	77007	39230
1325	77067	39172
1326	77122	39113
1327	77180	39055
1328	77237	38996
1329	77292	38937
1330	77349	38877
1331	77408	38820
1332	77468	38763
1333	77526	38705
1334	77587	38648
1335	77648	38591
1336	77702	38531
1337	77761	38473
1338	77816	38414
1339	77872	38355
1340	77922	38293
1341	77980	38234
1342	78036	38175
1343	78096	38118
1344	78153	38059
1345	78208	38000
1346	78262	37940
1347	78317	37880
1348	78373	37821
1349	78428	37761
1350	78487	37704
1351	78543	37644
1352	78600	37586
1353	78659	37528
1354	78715	37469
1355	78762	37406
1356	78822	37349
1357	78873	37287
1358	78933	37230
1359	78989	37171
1360	79047	37113
1361	79101	37053
1362	79162	36996
1363	79218	36937
1364	79279	36880
1365	79330	36819
1366	79385	36760
1367	79446	36703
1368	79506	36646
1369	79567	36589
1370	79619	36528
1371	79672	36468
1372	79726	36408
1373	79784	36350
1374	79839	36290
1375	79897	36232
1376	79958	36175
1377	80017	36118
1378	80071	36058
1379	80127	35999
1380	80188	35942
1381	80246	35884
1382	80299	35824
1383	80360	35767
1384	80419	35709
1385	80479	35652
1386	80535	35593
1387	80589	35533
1388	80642	35473
1389	80701	35415
1390	80754	35355
1391	80810	35296
1392	80866	35237
1393	80930	35182
1394	80983	35121
1395	81042	35064
1396	81095	35003
1397	81154	34946
1398	81209	34887
1399	81266	34828
1400	81323	34770
1401	81390	34715
1402	81447	34657
1403	81505	34599
1404	81557	34538
1405	81619	34482
1406	81681	34425
1407	81738	34367
1408	81791	34307
1409	81854	34251
1410	81915	34194
1411	81976	34137
1412	82037	34080
1413	82091	34021
1414	82156	33965
1415	82223	33911
1416	82288	33856
1417	82358	33803
1418	82420	33746
1419	82484	33690
1420	82547	33634
1421	82615	33580
1422	82677	33524
1423	82746	33470
1424	82807	33413
1425	82872	33358
1426	82934	33301
1427	82997	33245
1428	83054	33186
1429	83109	33127
1430	83172	33071
1431	83241	33017
1432	83301	32960
1433	83360	32902
1434	83418	32844
1435	83476	32786
1436	83538	32729
1437	83602	32673
1438	83661	32615
1439	83727	32560
1440	83787	32503
1441	83839	32442
1442	83893	32383
1443	83951	32324
1444	84005	32265
1445	84059	32205
1446	84119	32148
1447	84182	32091
1448	84239	32033
1449	84301	31976
1450	84362	31919
1451	84424	31862
1452	84482	31804
1453	84542	31747
1454	84598	31688
1455	84663	31632
1456	84722	31574
1457	84784	31518
1458	84842	31459
1459	84900	31401
1460	84963	31345
1461	85021	31286
1462	85080	31228
1463	85142	31172
1464	85207	31116
1465	85272	31060
1466	85331	31003
1467	85394	30946
1468	85455	30889
1469	85508	30829
1470	85573	30773
1471	85632	30715
1472	85690	30657
1473	85744	30598
1474	85803	30540
1475	85869	30484
1476	85927	30426
1477	85986	30368
1478	86047	30311
1479	86113	30256
1480	86170	30197
1481	86229	30139
1482	86288	30081
1483	86350	30024
1484	86409	29967
1485	86465	29907
1486	86530	29852
1487	86590	29794
1488	86657	29739
1489	86716	29681
1490	86769	29621
1491	86828	29563
1492	86893	29507
1493	86954	29450
1494	87017	29393
1495	87077	29336
1496	87137	29278
1497	87193	29219
1498	87253	29162
1499	87310	29103
1500	87374	29047
1501	87432	28989
1502	87496	28932
1503	87558	28875
1504	87623	28819
1505	87680	28761
1506	87738	28702
1507	87796	28644
1508	87856	28586
1509	87914	28528
1510	87974	28470
1511	88036	28413
1512	88092	28355
1513	88150	28296
1514	88207	28238
1515	88262	28178
1516	88322	28121
1517	88380	28062
1518	88435	28003
1519	88495	27946
1520	88554	27887
1521	88613	27829
1522	88671	27771
1523	88736	27715
1524	88791	27656
1525	88850	27598
1526	88914	27541
1527	88971	27483
